params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",47.59196299999985,100,-0.10131031547958771,-0.10000000000000002,-0.11097560975609756,-0.10000000000000002,0.002179706688700824
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",47.07893000000058,100,-0.10036218759385712,-0.10000000000000002,-0.10497237569060772,-0.10000000000000002,0.0011062644251393285
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",45.30513500000052,100,-0.10064585337981935,-0.10000000000000002,-0.10401785714285716,-0.10000000000000002,0.0010843468809140645
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",43.71390499999961,100,-0.10054058364915447,-0.10000000000000002,-0.10588235294117647,-0.09790476190476191,0.0011945034910199096
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",43.28028400000039,100,-0.10022520843751964,-0.10000000000000002,-0.10346153846153845,-0.10000000000000002,0.0006231787082487806
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",42.510033999999905,100,-0.10029811528361769,-0.10000000000000002,-0.10436893203883495,-0.09868735083532218,0.0007548596642463804
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",41.672889999999825,100,-0.10045572790934097,-0.10000000000000002,-0.10596026490066222,-0.0929032258064516,0.0013916513904310773
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",39.99329099999977,100,-0.10046435437574397,-0.10000000000000002,-0.10330882352941176,-0.0980392156862745,0.000813290040555831
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",34.55977200000052,100,-0.10031165076976997,-0.10000000000000002,-0.10841121495327102,-0.09662576687116563,0.0012368804222020263
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",14.300518000000011,100,-0.11115323949311491,-0.10909183673469386,-0.15625,-0.1028125,0.007765290169785978
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",46.502416999999696,100,-0.10112404529352424,-0.10000000000000002,-0.11139240506329111,-0.10000000000000002,0.0021946043897138673
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",43.688670999999886,100,-0.10098077117231957,-0.10000000000000002,-0.10708661417322834,-0.10000000000000002,0.0014905043913748448
