params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",15.370801000000029,100,-0.08860710077212895,-0.0911994367639529,-0.09734939759036144,-0.05769230769230771,0.007899844568053394
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",16.746934000000238,100,-0.08988751790972352,-0.09188180827886709,-0.0984330484330484,-0.06666666666666667,0.006803986530516008
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",14.111035999999785,100,-0.08884365659151867,-0.09210972850678731,-0.09831804281345566,-0.052173913043478286,0.009861510941195766
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",12.967146000000412,100,-0.09000810109152288,-0.09079481792717087,-0.11999999999999997,-0.07105263157894738,0.007906778228759383
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.409817000000203,100,-0.09954378312789465,-0.0903501346671797,-0.21250000000000002,-0.05925925925925928,0.026164988495290482
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",38.76149799999985,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",38.90753799999993,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",38.32094900000038,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",33.17250800000011,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",15.078038000000106,100,-0.0855798059896377,-0.08764044943820223,-0.09623287671232875,-0.052173913043478286,0.008484973401498902
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",15.594386000000213,100,-0.09031926621181946,-0.09188092384791369,-0.09818181818181816,-0.07027027027027029,0.006144075108711039
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",15.239328000000114,100,-0.09013367289936346,-0.0913042119735033,-0.09771309771309773,-0.06666666666666667,0.006086896350020117
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",14.888842999999724,100,-0.08719297666078006,-0.08804347826086954,-0.09779559118236474,-0.06764705882352942,0.00637522677560859
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",13.767272000000048,100,-0.09002724511048743,-0.09185185185185182,-0.09864864864864864,-0.05769230769230771,0.007215811197871685
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.1167239999999765,100,-0.10838057352980977,-0.10949933687002651,-0.21250000000000002,-0.05769230769230771,0.031108842183404737
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",45.53699499999993,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
